Name,URL,Location,info,applicationDeadline,percentOfAdmitted,SATT,SATR,SATM,SATW,ACTC,ACTE,ACTM,tuition,in_state,out_state,room,book,undergraduate,category,setting,student_faculty,percentOfWomen
University_of_Southern_California_(USC),http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/10/11/197496/1100917_University_of_Southern_California.jpg,"Los_Angeles,_CA","USC,_founded_in_1880,_is_a_private,_comprehensive_university_and_one_of_the_world’s_leading_private_research_universities._The_155-acre_main_campus_is_located_in_downtown_Los_Angeles.__An_anchor_institution_in_Los_Angeles,_a_global_center_for_arts,_technology_and_international_trade,_USC_enrolls_more_international_students_than_any_other_U.S._university_and_offers_extensive_opportunities_for_internships_and_study_abroad._With_a_strong_tradition_of_integrating_liberal_and_professional_education,_USC_fosters_a_vibrant_culture_of_public_service_and_encourages_students_to_cross_academic_as_well_.....","Regular_Decision:_Jan_10,_2015","20%
_________
__________of_Applicants_Admitted",1910-2220_SAT_Total,620-720_SAT_Reading,650-760_SAT_Math,640-740_SAT_Writing,29-33_ACT_Composite,29-34_ACT_English,28-34_ACT_Math,"$59,142

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$43,722","Out-of-State_Tuition:_$43,722","Room_and_Board:_$1,480","Books_&_Supplies:_$1,500","19,094number_of_undergraduates",private-non-profit,Setting:_city,Student/Faculty_ratio:_9:1,23%_Women
University_of_Miami,http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/10/19/miami.jpg,"Coral_Gables,_FL","A_private_research_university_with_approximately_10,000_full-time_degree-seeking_undergraduates_and_5,000_full-time_degree-seeking_graduates_from_around_the_world,_the_University_of_Miami_is_a_vibrant_and_diverse_academic_community_focused_on_teaching_and_learning,_the_discovery_of_new_knowledge,_and_service_to_the_South_Florida_region_and_beyond.

The_University_is_comprised_of_12_schools_and_colleges_serving_undergraduate_and_graduate_students_in_more_than_180_majors_and_programs.__U.S._News_&_World_Report_ranked_UM_#47_on_their_2014__Best_Colleges__national_list,_resulting_in_the_.....","Regular_Decision:_Jan_1,_2015
			Early_Decision:_Nov_1,_2014Early_Action:_Nov_1,_2014","40%
_________
__________of_Applicants_Admitted",1820-2110_SAT_Total,600-700_SAT_Reading,630-720_SAT_Math,590-690_SAT_Writing,28-32_ACT_Composite,29-34_ACT_English,27-33_ACT_Math,"$57,542

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$43,040","Out-of-State_Tuition:_$43,040","Room_and_Board:_$12,684",Books_&_Supplies:_$930,"11,380number_of_undergraduates",,Setting:_suburban,Student/Faculty_ratio:_12:1,51%_Women
UC_Santa_Barbara_(UCSB),http://z2.cheggcdn.com/sites/default/files/2007/10/10/196484_53bc2d3b64fd7_ucsb_aerial_zinch.jpg,"Santa_Barbara,_CA","The_vast_majority_of_students_live_within_walking_distance_of_their_classes._Seven_miles_of_bikeways_link_this_close-knit_academic_community,_giving_students_easy_access_to_a_rich_array_of_social,_cultural,_academic,_and_athletic_events.As_an_institution,_we_are_very_much_like_many_of_our_undergraduates:_vibrant,_energetic,_and_eager_to_begin_the_serious_business_of_inventing_the_future._We_are_too_young_to_be_complacent,_too_excited_by_unfolding_possibilities_to_retreat_into_ivy-covered_towers.The_preeminent_scholarship,_instruction,_and_public_service_that_define_.....","Regular_Decision:_Nov_30,_2014","36%
_________
__________of_Applicants_Admitted",1630-1990_SAT_Total,520-640_SAT_Reading,540-660_SAT_Math,530-650_SAT_Writing,23-29_ACT_Composite,22-29_ACT_English,23-29_ACT_Math,"$32,607

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$18,928","Out-of-State_Tuition:_$41,806","Room_and_Board:_$13,805","Books_&_Supplies:_$1,444","19,362number_of_undergraduates",public,Setting:_suburban,Student/Faculty_ratio:_18:1,52%_Women
Harvard_University,http://z2.cheggcdn.com/sites/default/files/2010/12/16/harvard_university_0.jpg,"Cambridge,_MA","Harvard,_founded_in_1636,_is_a_private,_Ivy_League_university._Radcliffe_was_established_as_an_annex_for_women_in_1879;_all_classes_and_facilities_are_now_coeducational._Its_380-acre_campus_is_located_in_Cambridge,_across_the_Charles_River_from_Boston._Campus_architecture_ranges_from_Bulfinch_to_H.H._Richardson_to_Le_Corbusier.","Regular_Decision:_Jan_1,_2015","6%
_________
__________of_Applicants_Admitted",2120-2390_SAT_Total,700-800_SAT_Reading,710-790_SAT_Math,710-800_SAT_Writing,32-35_ACT_Composite,33-35_ACT_English,31-35_ACT_Math,"$54,660

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$37,576","Out-of-State_Tuition:_$37,576","Room_and_Board:_$2,454","Books_&_Supplies:_$1,000","14,495number_of_undergraduates",private-non-profit,Setting:_city,Student/Faculty_ratio:_7:1,22%_Women
Princeton_University,http://z2.cheggcdn.com/sites/default/files/2011/02/shieldonly.jpg,"Princeton,_NJ","Princeton_University_is_a_vibrant_community_of_scholarship_and_learning_that_stands_in_the_nation's_service_and_in_the_service_of_all_nations._Chartered_in_1746,_Princeton_is_the_fourth-oldest_college_in_the_United_States._Princeton_is_an_independent,_coeducational,_nondenominational_institution_that_provides_undergraduate_and_graduate_instruction_in_the_humanities,_social_sciences,_natural_sciences_and_engineering.","Regular_Decision:_Jan_1,_2015
			Early_Action:_Nov_1,_2014","8%
_________
__________of_Applicants_Admitted",2120-2390_SAT_Total,700-790_SAT_Reading,710-800_SAT_Math,710-800_SAT_Writing,31-35_ACT_Composite,32-35_ACT_English,30-35_ACT_Math,"$53,893

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$38,650","Out-of-State_Tuition:_$38,650","Room_and_Board:_$1,413","Books_&_Supplies:_$1,200","5,240number_of_undergraduates",private-non-profit,Setting:_suburban,Student/Faculty_ratio:_6:1,32%_Women
Columbia_University_in_the_City_of_New_York,http://z2.cheggcdn.com/sites/default/files/zinch_legacy/2007/7/127225/Columbia_AO-09-09-2008-13-37-53.jpg,"New_York,_NY","Columbia_University_in_the_City_of_New_York_lies_at_the_crossroads_of_the_world._Our_exhilarating_intellectual_reach_comprises_pioneering_work_in_the_sciences,_creative_visionaries_in_the_arts,_standard-setting_work_in_the_humanities,_mindbending_innovations_in_engineering._Every_Columbia_undergraduate_-_4,100_in_Columbia_College_and_1,400_in_Columbia_Engineering_-_studies_the_world's_major_texts_in_our_remarkable_Core_Curriculum._Our_students_choose_from_nearly_100_areas_of_study_and_take_advantage_of_hundreds_of_extracurricular,_research,_internship_and_study_abroad_.....","Regular_Decision:_Jan_1,_2015
			Early_Decision:_Nov_1,_2014","7%
_________
__________of_Applicants_Admitted",2100-2360_SAT_Total,700-780_SAT_Reading,700-790_SAT_Math,700-790_SAT_Writing,32-35_ACT_Composite,33-35_ACT_English,32-35_ACT_Math,"$59,322

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$45,028","Out-of-State_Tuition:_$45,028","Room_and_Board:_$1,858","Books_&_Supplies:_$1,040","7,967number_of_undergraduates",private-non-profit,Setting:_city,Student/Faculty_ratio:_6:1,14%_Women
UC_Davis_(University_of_California-Davis),http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/02/10/ucdavis_1.png,"Davis,_CA","The_University_of_California,_Davis,_is_located_in_the_heart_of_Northern_California,_20_minutes_west_of_the_state_capital,_Sacramento,_and_90_minutes_from_the_world-famous_San_Francisco_Bay_Area_and_beautiful_Lake_Tahoe._

UC_Davis_is_known_for_its_excellence_in_research_and_dedication_to_undergraduate_academic_pursuits._It_offers_all_the_benefits_that_come_with_being_a_part_of_California's_renowned_public_university_system_while_keeping_the_friendly,_safe_atmosphere_associated_with_private_college_campuses._

Ranked_ninth_in_the_nation_among_public_universities_(U.S._News_&_World_.....","Regular_Decision:_Nov_30,_2014","40.6%
_________
__________of_Applicants_Admitted",1810-2120_SAT_Total,560-690_SAT_Reading,620-750_SAT_Math,590-710_SAT_Writing,27-32_ACT_Composite,-29_ACT_Math,,"$33,685

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$13,896","Out-of-State_Tuition:_$36,774","Room_and_Board:_$14,218","Books_&_Supplies:_$1,560","26,663number_of_undergraduates",public,Setting:_suburban,Student/Faculty_ratio:_17:1,56%_Women
Florida_State_University,http://z2.cheggcdn.com/sites/default/files/2011/05/09/3328881_52fd86d809783_florida_state_university_seal.jpg,"Tallahassee,_FL","Florida_State,_founded_in_1851,_is_a_public,_comprehensive_university._Its_463-acre_campus_is_located_within_a_mile_of_downtown_Tallahassee.

The_Florida_State_University_preserves,_expands,_and_disseminates_knowledge_in_the_sciences,_technology,_arts,_humanities,_and_professions,_while_embracing_a_philosophy_of_learning_strongly_rooted_in_the_traditions_of_the_liberal_arts._The_university_is_dedicated_to_excellence_in_teaching,_research,_creative_endeavors,_and_service._The_university_strives_to_instill_the_strength,_skill,_and_character_essential_for_lifelong_learning,_personal_.....","Regular_Decision:_Jan_15,_2015","54%
_________
__________of_Applicants_Admitted",560-640_SAT_Reading,560-640_SAT_Math,,,25-29_ACT_Composite,,,"$19,105

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$4,587","Out-of-State_Tuition:_$19,032","Room_and_Board:_$3,892","Books_&_Supplies:_$1,000","36,369number_of_undergraduates",public,Setting:_city,Student/Faculty_ratio:_27:1,43%_Women
Michigan_State_University_(MSU),http://z2.cheggcdn.com/sites/default/files/2011/05/16/michigan_state_profile_pic.jpg,"East_Lansing,_MI","Michigan_State_University_Spartans_work_to_advance_the_common_good_in_uncommon_ways._The_nation’s_pioneer_land-grant_university,_MSU_began_as_a_bold_experiment_that_democratized_higher_education_and_helped_bring_science_and_innovation_into_everyday_life._Today,_MSU_is_one_of_the_top_research_universities_in_the_world—on_one_of_the_biggest,_greenest_campuses_in_the_nation—and_is_home_to_a_diverse_community_of_dedicated_students_and_scholars,_athletes_and_artists,_scientists_and_leaders.","Regular_Decision:_Nov_1,_2014
			Early_Action:_Oct_16,_2014","68%
_________
__________of_Applicants_Admitted",1430-1840_SAT_Total,430-580_SAT_Reading,540-680_SAT_Math,460-580_SAT_Writing,24-28_ACT_Composite,24-29_ACT_English,23-28_ACT_Math,"$23,510

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$13,246","Out-of-State_Tuition:_$35,026","Room_and_Board:_$9,204","Books_&_Supplies:_$1,060","37,988number_of_undergraduates",public,Setting:_rural,Student/Faculty_ratio:_17:1,50%_Women
University_of_California-Irvine_(UC_Irvine),http://z2.cheggcdn.com/sites/default/files/imagecache/175wide/2011/08/16/uci_seal_289.jpg,"Irvine,_CA","A_top_choice_for_undergraduate_and_graduate_education,_students_who_attend_UC_Irvine_discover_easy_accessibility_to_stellar_faculty_for_research_and_mentoring;_excellent_professional_schools_in_the_fields_of_medicine;_business,_education,_and_the_arts;_a_beautiful_campus_in_one_of_the_safest_big_cities_in_the_nations;_award_winning_student_housing;_exciting_campus_events_throughout_the_year;_and_unparalleled_leadership_preparation_to_succeed_in_your_desired_career.","Regular_Decision:_Nov_30,_2014","47%
_________
__________of_Applicants_Admitted",1530-1920_SAT_Total,490-610_SAT_Reading,540-680_SAT_Math,500-630_SAT_Writing,21-27_ACT_Composite,21-28_ACT_English,23-29_ACT_Math,"$28,126

Annual_tuition,_fees,_books,_supplies,_room_and_board","In-State_Tuition:_$11,220","Out-of-State_Tuition:_$34,098","Room_and_Board:_$3,633","Books_&_Supplies:_$1,567","23,765number_of_undergraduates",public,Setting:_city,Student/Faculty_ratio:_19:1,43%_Women
